date,symbol,open_price,adj_close,volume,FED_RATE,INFLATION_CPI,CONSUMER_CONFIDENCE,SP500,VIX,US10Y,stock_return
2020-07-02,NVDA,9.606256,9.579597,364056000,0.09,258.352,72.5,3130.01,27.68,0.68,0.0086307005
2020-07-06,NVDA,9.708657,9.805825,315892000,0.09,258.352,72.5,3179.72,27.94,0.69,0.023615581
2020-07-06,GOOGL,73.849519,74.420204,44712000,0.09,258.352,72.5,3179.72,27.94,0.69,0.0202186089
2020-07-06,AAPL,89.643583,90.576363,118655600,0.09,258.352,72.5,3179.72,27.94,0.69,0.0267502825
2020-07-07,AAPL,90.954343,90.295341,112424400,0.09,258.352,72.5,3145.32,29.43,0.65,-0.0031025878
2020-07-07,GOOGL,74.24552,73.937347,42364000,0.09,258.352,72.5,3145.32,29.43,0.65,-0.0064882481
2020-07-07,NVDA,9.912462,9.838215,357800000,0.09,258.352,72.5,3145.32,29.43,0.65,0.003303102
2020-07-08,NVDA,9.959802,10.181297,365480000,0.09,258.352,72.5,3169.94,28.08,0.67,0.0348724268
2020-07-08,GOOGL,74.477277,74.616226,31766000,0.09,258.352,72.5,3169.94,28.08,0.67,0.0091818115
2020-07-08,AAPL,91.271723,92.398323,117092000,0.09,258.352,72.5,3169.94,28.08,0.67,0.0232900339
2020-07-09,AAPL,93.2899,92.795654,125642800,0.09,258.352,72.5,3152.05,29.26,0.62,0.0043001997
2020-07-09,GOOGL,74.930336,75.363564,41836000,0.09,258.352,72.5,3152.05,29.26,0.62,0.0100157483
2020-07-09,NVDA,10.344989,10.473302,494548000,0.09,258.352,72.5,3152.05,29.26,0.62,0.028680489
2020-07-10,NVDA,10.552781,10.443653,497676000,0.09,258.352,72.5,3185.04,27.29,0.65,-0.0028308915
2020-07-10,GOOGL,75.095108,76.373451,35918000,0.09,258.352,72.5,3185.04,27.29,0.65,0.0134002116
2020-07-10,AAPL,92.391043,92.957977,90257200,0.09,258.352,72.5,3185.04,27.29,0.65,0.0017492522
2020-07-13,AAPL,94.261476,92.529175,191649200,0.09,258.352,72.5,3155.22,32.19,0.64,-0.0046128638
2020-07-13,GOOGL,76.915846,75.044487,42954000,0.09,258.352,72.5,3155.22,32.19,0.64,-0.0174008666
2020-07-13,NVDA,10.55901,10.018104,457076000,0.09,258.352,72.5,3155.22,32.19,0.64,-0.040747189
2020-07-14,NVDA,10.040775,10.341749,542676000,0.09,258.352,72.5,3197.52,29.52,0.63,0.0323060736
2020-07-14,GOOGL,74.079769,75.47274,38108000,0.09,258.352,72.5,3197.52,29.52,0.63,0.0057066574
2020-07-14,AAPL,91.911334,94.060364,170989200,0.09,258.352,72.5,3197.52,29.52,0.63,0.0165481749
2020-07-15,AAPL,95.933189,94.707253,153198000,0.09,258.352,72.5,3226.56,27.76,0.64,0.0068773786
2020-07-15,GOOGL,75.59037,75.275253,31026000,0.09,258.352,72.5,3226.56,27.76,0.64,-0.002616665
2020-07-15,NVDA,10.378876,10.192511,403984000,0.09,258.352,72.5,3226.56,27.76,0.64,-0.0144306909
2020-07-16,NVDA,9.980981,10.100325,344964000,0.09,258.352,72.5,3215.57,28.0,0.62,-0.0090444816
2020-07-16,GOOGL,74.512005,75.177979,26484000,0.09,258.352,72.5,3215.57,28.0,0.62,-0.0012922544
2020-07-16,AAPL,93.580636,93.54187,110577600,0.09,258.352,72.5,3215.57,28.0,0.62,-0.0123051018
2020-07-17,AAPL,93.992536,93.352913,92186800,0.09,258.352,72.5,3224.73,25.68,0.64,-0.0020200282
2020-07-17,GOOGL,75.276734,75.273758,34264000,0.09,258.352,72.5,3224.73,25.68,0.64,0.0012740356
2020-07-17,NVDA,10.190763,10.166844,266284000,0.09,258.352,72.5,3224.73,25.68,0.64,0.0065859009
2020-07-20,NVDA,10.239349,10.475045,284852000,0.09,258.352,72.5,3251.84,24.46,0.62,0.0303143065
2020-07-20,GOOGL,75.181948,77.605637,30166000,0.09,258.352,72.5,3251.84,24.46,0.62,0.0309786402
2020-07-20,AAPL,93.440133,95.320221,90318000,0.09,258.352,72.5,3251.84,24.46,0.62,0.0210738796
2020-07-21,AAPL,96.110052,94.004639,103433200,0.09,258.352,72.5,3257.3,24.84,0.61,-0.0138017124
